Course Code,Course Title,Session,Instructor,Cr Hrs,Day and Time
FINN 372 LEC 1,Actuarial Sciences and Insurance,16W,Nauman Afzal Cheema,3.0,TR 12:30PM-1:45PM
FINN 373 LEC 1,Fundamentals of Actuarial Mathematics I,16W,,3.0,TR 5:00PM-6:15PM
FINN 400 LEC 1,Applied Corporate Finance,16W,Saad Azmat,3.0,TR 2:00PM-3:15PM
FINN 403 LEC 1,Financial Modelling,16W,Talha Farrukh,3.0,TR 11:00AM-12:15PM
FINN 441 LEC 1,Islamic Banking and Finance,16W,Saad Azmat,3.0,TR 3:30PM-4:45PM
FINN 454 LEC 1,Portfolio Management,16W,Syed Kumail Abbas Rizvi,3.0,MW 11:00AM-12:15PM
FINN 7201 LEC 1,Mathematical Modeling,16W,,3.0,W 9:30AM-12:30PM
FINN 8001 SEM 1,Seminar in Islamic and Corporate Finance,16W,Saad Azmat,3.0,R 10:30AM-1:30PM
FINN 8401 SEM 1,"Seminar in Financial Intermediation and
Regualatory Framework",16W,Bushra Naqvi,3.0,T 12:30PM-3:30PM
FMG 5101 LEC 1,Financial Statement Analysis and Value Creation,MS1,Syed Kumail Abbas Rizvi,3.0,FSU 10:45AM-12:45PM
GSL 102 SEM 1,Chinese Language for Beginners (HSK Level 1),16W,Hui Qi,4.0,TR 2:00PM-3:50PM
GSL 102 SEM 2,Chinese Language for Beginners (HSK Level 1),16W,Sikandar Ahmed Shah,4.0,TR 4:00PM-5:50PM
GSL 202 LEC 1,Writing from the Trial,16W,Sarah Humayun,4.0,MW 11:00AM-12:50PM
GSS 264 LEC 1,"Master Narratives: Minding Gender and Media
Gaps",16W,Maria Amir,4.0,TR 12:00PM-1:50PM
GSS 302 LEC 1,Feminist Theory,16W,Maria Amir,4.0,TR 4:00PM-5:50PM
HIST 122 LEC 1,East Asian History,16W,Hassan Haider Karrar,4.0,TR 11:00AM-12:50PM
HIST 124 LEC 1,The World Since 1453,16W,Ameem Lutfi,4.0,MW 4:00PM-5:50PM
HIST 2203 LEC 1,Making of Modern Afghanistan,16W,Jahanzeb Baloch,4.0,MW 4:00PM-5:50PM
HIST 2322 LEC 1,A Brief history of Evil,16W,Muhammad Ali Raza,4.0,TR 11:00AM-12:50PM
HIST 2324 LEC 1,"Conceptual Understanding of Borders and
Borderlands Studies",16W,Ilyas Ahmad Chattha,4.0,MW 2:00PM-3:50PM
HIST 314 LEC 1,19th Century Sikh Wall Paintings in Punjab,16W,Nadhra Shahbaz Naeem Khan,4.0,MW 2:00PM-3:50PM
HIST 3202 LEC 1,Civil War in the 20th Century,16W,Ilyas Ahmad Chattha,4.0,TR 2:00PM-3:50PM
HIST 329 LEC 1,The Cold War,16W,Hassan Haider Karrar,4.0,TR 1:30PM-3:20PM
HIST 3310 LEC 1,"The Atomic Age: Control, Confrontation, Disaster",16W,Waqar Zaidi,4.0,MW 12:00PM-1:50PM
HIST 427 LEC 1,"Walking in the City: Mapping Everyday Life in
Lahore",16W,Ali Usman Qasmi,4.0,WF 4:00PM-5:50PM
HMI 6202 LEC 1,Healthcare Operations Management,MS1,Hassan Rauf Chaudhry,3.0,FSU 8:30AM-10:30AM
LANG 1202 LEC 1,Arabic for Quran,16W,Hafiz Abdul Qadeer,4.0,WF 2:30PM-4:20PM
LANG 122 LEC 1,Introduction to Balochi Language,16W,Jahanzeb Baloch,4.0,TR 10:00AM-11:50AM
LANG 123 LEC 1,Introduction to Punjabi Language,16W,Zahid Hussain,4.0,TR 4:00PM-5:50PM
LANG 124 LEC 1,Introduction to Arabic Language,16W,Hafiz Abdul Qadeer,4.0,WF 4:30PM-6:20PM
LANG 127 LEC 1,Introduction to Persian Language,16W,Muhammad Iftikhar,4.0,TR 12:00PM-1:50PM
LANG 128 LEC 1,Sindhi for Non-Sindhi Speakers,16W,Ashok Kumar Khatri,4.0,MW 4:00PM-5:50PM
LANG 129 LEC 1,Pashto for Non-Native Speakers,16W,Imad .,4.0,MW 10:00AM-11:50AM
LANG 2203 LEC 1,Pashto: Intermediate Proficiency,16W,Imad .,4.0,TR 10:00AM-11:50AM
LANG 2204 LEC 1,The Art of Reading and Writing Punjabi,16W,Zahid Hussain,4.0,MW 4:00PM-5:50PM
LANG 2205 LEC 1,Sindhi: Intermediate Proficiency,16W,Ashok Kumar Khatri,4.0,TR 4:00PM-5:50PM
LANG 2206 LEC 1,"Contemporary Persian for Social and Professional
Use",16W,Muhammad Iftikhar,4.0,TR 2:30PM-4:20PM
LANG 2207 LEC 1,Enhancing Urdu Reading and Writing Skills,16W,,4.0,TR 2:00PM-3:50PM
LAW 102 LEC 1,Introduction to Pakistan Legal System,16W,Summaiya Zaidi,4.0,TR 4:00PM-5:50PM
LAW 102 LEC 2,Introduction to Pakistan Legal System,16W,Marva Khan,4.0,MW 2:00PM-3:50PM
LAW 102 LEC 3,Introduction to Pakistan Legal System,16W,,4.0,MW 4:00PM-5:50PM
LAW 220 LEC 1,Contracts,16W,Sheharyar Sikander Hamid,4.0,TR 1:00PM-2:50PM
LAW 220 LEC 2,Contracts,16W,Syeda Zehra Zaidi,4.0,MW 11:30AM-1:20PM
LAW 222 LEC 1,Torts,16W,Syeda Zehra Zaidi,4.0,MW 2:00PM-3:50PM
LAW 222 LEC 2,Torts,16W,Ahmed Hasan Khan,4.0,MW 3:30PM-5:20PM
LAW 240 LEC 1,Criminal Law,16W,Angbeen Atif Mirza,4.0,MW 10:00AM-11:50AM
LAW 240 LEC 2,Criminal Law,16W,Hammad Saeed,4.0,TR 4:30PM-6:20PM
LAW 280 LEC 1,"Legal Practice I: Legal Writing and Research
Methods",16W,Adnan Sattar,4.0,TR 2:00PM-3:50PM
LAW 280 LEC 2,"Legal Practice I: Legal Writing and Research
Methods",16W,Maria Farooq,4.0,TR 4:00PM-5:50PM
LAW 303 LEC 1,Advanced Writing from the Trial,16W,Sarah Humayun,4.0,TR 12:00PM-1:50PM
LAW 306 LEC 1,"International Relations and International Law:
Chinese Perspectives",16W,Syed Hassan Raza,4.0,MW 12:00PM-1:50PM
LAW 3203 LEC 1,"Introduction to Legal Aspects of Merger and
Acquisition law in Pakistan",16W,Ali Awais,4.0,MW 8:00AM-9:50AM
LAW 338 LEC 1,"Constitutional and Legal System of the United
Kingdom",16W,,4.0,WF 12:00PM-1:50PM
LAW 352 LEC 1,Public International Law,16W,Sikandar Ahmed Shah,4.0,MW 10:00AM-11:50AM
LAW 352 LEC 2,Public International Law,16W,Madiha Talat,4.0,MW 2:00PM-3:50PM
LAW 353 LEC 1,Human Rights,16W,Adnan Sattar,4.0,TR 4:00PM-5:50PM
LAW 426 LEC 1,Marxist Theories of Law,16W,Aisha Ahmad,4.0,TR 12:00PM-1:50PM
LAW 427 LEC 1,"Crime, Law and Finance: Wonders of White Color
Crime in Pakistan!",16W,Faiza .,4.0,MW 12:00PM-1:50PM
LAW 4304 LEC 1,Parliamentary Power Play,16W,Marva Khan,4.0,MW 10:00AM-11:50AM
LAW 4305 SEM 1,The Jurisprudence of Extractivism,16W,Asad Farooq,4.0,TR 4:00PM-5:50PM
LAW 4306 LEC 1,"Judicial Review Of Public Actions: Writ Jurisdiction
In Pakistan",16W,Zaki Rahman,4.0,WF 8:00AM-9:50AM
LAW 4505 SEM 1,"Business and Human Rights: A Critical Legal
Perspective from the South",16W,Muhammad Azeem,4.0,TR 12:00PM-1:50PM
LAW 471 LEC 1,Civil Procedure,16W,Muhammad Umar Ali,4.0,WF 3:00PM-4:50PM
LAW 471 LEC 2,Civil Procedure,16W,Fahad Malik,4.0,WF 4:00PM-5:50PM
LAW 472 LEC 1,Criminal Procedure,16W,Haider Rasul Mirza,4.0,WF 4:00PM-5:50PM
LAW 4812 LEC 1,Legal Practice II: Legal Instruments,16W,Muhammad Umar Ali,4.0,TR 4:00PM-5:50PM
LAW 4812 LEC 2,Legal Practice II: Legal Instruments,16W,Summaiya Zaidi,4.0,TR 2:00PM-3:50PM
LAW 4812 LEC 3,Legal Practice II: Legal Instruments,16W,,4.0,TR 4:00PM-5:50PM
LAW 486 LEC 1,Advanced Legal Research,16W,,4.0,TR 8:00AM-9:50AM
LAW 4924 LEC 1,Prison Paralegal Clinic,16W,Angbeen Atif Mirza,4.0,TR 10:00AM-11:50AM
MATH 100 LEC 1,Pre-Calculus,16W,,3.0,MW 12:30PM-1:45PM
MATH 100 LEC 2,Pre-Calculus,16W,,3.0,TR 8:00AM-9:15AM
MATH 101 LEC 1,Calculus I,16W,Haniya Azam,3.0,MW 12:30PM-1:45PM
MATH 101 LEC 2,Calculus I,16W,,3.0,TR 8:00AM-9:15AM
MATH 101 LEC 3,Calculus I,16W,,3.0,MW 2:00PM-3:15PM
MATH 101 LEC 4,Calculus I,16W,,3.0,TR 10:30AM-11:45AM
MATH 101 LEC 5,Calculus I,16W,,3.0,MW 5:00PM-6:15PM
MATH 101 LEC 6,Calculus I,16W,,3.0,MW 3:30PM-4:45PM
MATH 101H LEC 1,Calculus I (Honours),16W,Waqas Ali Azhar,3.0,TR 10:30AM-11:45AM
MATH 102 LEC 1,Calculus II,16W,,3.0,MW 4:30PM-5:45PM
MATH 102 LEC 2,Calculus II,16W,Masood Hussain Shah,3.0,TR 11:30AM-12:45PM
MATH 120 LEC 1,Linear Algebra with Differential Equations,16W,Imran Naeem,3.0,MW 5:00PM-6:15PM
MATH 120 LEC 2,Linear Algebra with Differential Equations,16W,,3.0,TR 8:00AM-9:15AM
MATH 204 LEC 1,Introduction to Formal Mathematics,16W,Shaheen Nazir,3.0,MW 1:30PM-2:45PM
MATH 210 LEC 1,Introduction to Differential Equations,16W,Ali Ashher Zaidi,3.0,TR 5:00PM-6:15PM
MATH 222 LEC 1,Linear Algebra II,16W,Haniya Azam,3.0,TR 12:30PM-1:45PM
MATH 230 LEC 1,Probability,16W,Reza Abdolmaleki,3.0,MW 11:30AM-12:45PM
MATH 300 LEC 1,Complex Variables,16W,Shaheen Nazir,3.0,MW 5:00PM-6:15PM
